starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 20 08:47:13 2012	1353368833	1	38	39	38
Tue Nov 20 08:47:13 2012	1353368833	1	39	39	39
Tue Nov 20 08:47:13 2012	1353368833	1	39	40	39
Tue Nov 20 08:47:13 2012	1353368833	1	39	40	39
Tue Nov 20 08:47:13 2012	1353368833	1	39	40	39
Tue Nov 20 08:47:13 2012	1353368833	1	39	40	39
Tue Nov 20 08:47:13 2012	1353368833	1	40	41	40
Tue Nov 20 08:47:13 2012	1353368833	1	40	41	40
Tue Nov 20 08:47:13 2012	1353368833	1	40	41	40
Tue Nov 20 08:47:13 2012	1353368833	1	40	41	40
Tue Nov 20 08:47:13 2012	1353368833	1	41	42	41
Tue Nov 20 08:47:13 2012	1353368833	1	41	42	41
Tue Nov 20 08:47:13 2012	1353368833	1	41	42	41
Tue Nov 20 08:47:13 2012	1353368833	1	41	42	41
Tue Nov 20 08:47:13 2012	1353368833	1	41	43	41
Tue Nov 20 08:47:13 2012	1353368833	1	42	43	42
Tue Nov 20 08:47:13 2012	1353368833	1	42	43	42
Tue Nov 20 08:47:13 2012	1353368833	1	42	43	42
Tue Nov 20 08:47:13 2012	1353368833	1	42	43	42
Tue Nov 20 08:47:13 2012	1353368833	1	42	44	42
Tue Nov 20 08:47:13 2012	1353368833	1	43	44	43
Tue Nov 20 08:47:13 2012	1353368833	1	43	44	43
Tue Nov 20 08:47:13 2012	1353368833	1	43	44	43
Tue Nov 20 08:47:13 2012	1353368833	1	43	45	43
Tue Nov 20 08:47:13 2012	1353368833	1	43	45	43
Tue Nov 20 08:47:13 2012	1353368833	1	44	45	44
Tue Nov 20 08:47:13 2012	1353368833	1	44	45	44
Tue Nov 20 08:47:13 2012	1353368833	1	44	46	44
Tue Nov 20 08:47:13 2012	1353368833	1	44	46	44
Tue Nov 20 08:47:13 2012	1353368833	1	45	46	45
Tue Nov 20 08:47:13 2012	1353368833	1	45	46	45
Tue Nov 20 08:47:13 2012	1353368833	1	45	46	45
Tue Nov 20 08:47:13 2012	1353368833	2	45	47	45
Tue Nov 20 08:47:13 2012	1353368833	2	45	47	45
Tue Nov 20 08:47:13 2012	1353368833	2	46	47	46
Tue Nov 20 08:47:13 2012	1353368833	2	46	47	46
Tue Nov 20 08:47:13 2012	1353368833	2	46	48	46
Tue Nov 20 08:47:13 2012	1353368833	2	46	48	46
Tue Nov 20 08:47:13 2012	1353368833	2	46	48	46
Tue Nov 20 08:47:13 2012	1353368833	2	47	48	47
Tue Nov 20 08:47:13 2012	1353368833	2	47	48	47
Tue Nov 20 08:47:13 2012	1353368833	2	47	49	47
Tue Nov 20 08:47:13 2012	1353368833	2	47	49	47
Tue Nov 20 08:47:13 2012	1353368833	2	47	49	47
Tue Nov 20 08:47:13 2012	1353368833	2	48	49	48
Tue Nov 20 08:47:13 2012	1353368833	2	48	50	48
Tue Nov 20 08:47:13 2012	1353368833	2	48	50	48
Tue Nov 20 08:47:13 2012	1353368833	2	48	50	48
Tue Nov 20 08:47:13 2012	1353368833	2	49	50	48
Tue Nov 20 08:47:13 2012	1353368833	2	49	51	49
Tue Nov 20 08:47:13 2012	1353368833	0	58	58	58
Tue Nov 20 08:47:13 2012	1353368833	0	58	58	58
