starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 20 08:46:58 2012	1353368818	0	8	8	8
Tue Nov 20 08:46:58 2012	1353368818	0	8	8	8
Tue Nov 20 08:46:58 2012	1353368818	0	8	8	8
Tue Nov 20 08:47:01 2012	1353368821	0	8	8	8
Tue Nov 20 08:47:01 2012	1353368821	0	8	8	8
Tue Nov 20 08:46:58 2012	1353368818	0	9	9	9
Tue Nov 20 08:46:59 2012	1353368819	0	9	9	9
Tue Nov 20 08:47:01 2012	1353368821	0	9	9	9
Tue Nov 20 08:47:01 2012	1353368821	0	9	9	9
Tue Nov 20 08:47:01 2012	1353368821	0	9	9	9
Tue Nov 20 08:47:01 2012	1353368821	0	10	10	10
Tue Nov 20 08:47:01 2012	1353368821	0	10	10	10
Tue Nov 20 08:47:01 2012	1353368821	0	10	10	10
Tue Nov 20 08:47:01 2012	1353368821	0	10	10	10
Tue Nov 20 08:46:59 2012	1353368819	0	10	10	10
Tue Nov 20 08:47:01 2012	1353368821	0	11	11	11
Tue Nov 20 08:46:59 2012	1353368819	0	11	11	11
Tue Nov 20 08:47:01 2012	1353368821	0	11	11	11
Tue Nov 20 08:46:59 2012	1353368819	0	11	11	11
Tue Nov 20 08:47:01 2012	1353368821	0	11	11	11
Tue Nov 20 08:46:59 2012	1353368819	0	11	11	11
Tue Nov 20 08:46:59 2012	1353368819	0	11	11	11
Tue Nov 20 08:46:59 2012	1353368819	0	11	11	11
Tue Nov 20 08:47:00 2012	1353368820	0	11	11	11
Tue Nov 20 08:47:01 2012	1353368821	0	11	11	11
Tue Nov 20 08:47:00 2012	1353368820	0	11	11	11
Tue Nov 20 08:47:00 2012	1353368820	0	11	11	11
Tue Nov 20 08:47:00 2012	1353368820	0	12	12	12
Tue Nov 20 08:47:01 2012	1353368821	0	12	12	12
Tue Nov 20 08:47:01 2012	1353368821	0	12	12	12
Tue Nov 20 08:47:01 2012	1353368821	0	12	12	12
Tue Nov 20 08:47:00 2012	1353368820	0	12	12	12
Tue Nov 20 08:46:58 2012	1353368818	0	12	12	12
Tue Nov 20 08:47:00 2012	1353368820	0	12	12	12
Tue Nov 20 08:47:01 2012	1353368821	0	12	12	12
Tue Nov 20 08:46:58 2012	1353368818	0	12	12	12
Tue Nov 20 08:47:00 2012	1353368820	0	12	12	12
Tue Nov 20 08:47:00 2012	1353368820	0	12	12	12
Tue Nov 20 08:47:01 2012	1353368821	0	12	12	12
Tue Nov 20 08:46:58 2012	1353368818	0	12	12	12
Tue Nov 20 08:47:01 2012	1353368821	0	12	12	12
Tue Nov 20 08:46:58 2012	1353368818	0	12	12	12
Tue Nov 20 08:47:01 2012	1353368821	0	12	12	12
Tue Nov 20 08:47:01 2012	1353368821	0	12	12	12
Tue Nov 20 08:47:01 2012	1353368821	0	12	12	12
Tue Nov 20 08:47:01 2012	1353368821	0	12	12	12
Tue Nov 20 08:47:01 2012	1353368821	0	12	12	12
Tue Nov 20 08:47:01 2012	1353368821	0	12	12	12
Tue Nov 20 08:47:00 2012	1353368820	0	12	12	12
Tue Nov 20 08:47:01 2012	1353368821	0	13	13	12
Tue Nov 20 08:47:01 2012	1353368821	0	13	13	13
Tue Nov 20 08:47:01 2012	1353368821	0	13	13	13
Tue Nov 20 08:47:01 2012	1353368821	0	13	13	13
Tue Nov 20 08:47:01 2012	1353368821	0	13	13	13
Tue Nov 20 08:47:01 2012	1353368821	0	13	13	13
Tue Nov 20 08:47:01 2012	1353368821	0	13	13	13
Tue Nov 20 08:46:59 2012	1353368819	0	13	13	13
Tue Nov 20 08:46:58 2012	1353368818	0	13	13	13
Tue Nov 20 08:47:00 2012	1353368820	0	13	13	13
Tue Nov 20 08:47:01 2012	1353368821	0	13	13	13
Tue Nov 20 08:46:58 2012	1353368818	0	13	13	13
Tue Nov 20 08:47:01 2012	1353368821	0	13	13	13
Tue Nov 20 08:47:01 2012	1353368821	0	13	13	13
Tue Nov 20 08:47:01 2012	1353368821	0	13	13	13
Tue Nov 20 08:47:00 2012	1353368820	0	14	14	14
Tue Nov 20 08:47:00 2012	1353368820	0	14	14	14
Tue Nov 20 08:47:00 2012	1353368820	0	14	14	14
Tue Nov 20 08:46:59 2012	1353368819	0	14	14	14
Tue Nov 20 08:46:59 2012	1353368819	0	14	14	14
Tue Nov 20 08:47:01 2012	1353368821	0	14	14	14
Tue Nov 20 08:47:01 2012	1353368821	0	14	14	14
Tue Nov 20 08:47:00 2012	1353368820	0	14	14	13
Tue Nov 20 08:47:01 2012	1353368821	0	14	14	14
Tue Nov 20 08:47:01 2012	1353368821	0	14	14	14
Tue Nov 20 08:47:00 2012	1353368820	0	14	14	14
Tue Nov 20 08:47:01 2012	1353368821	0	14	14	14
Tue Nov 20 08:47:01 2012	1353368821	0	14	14	14
Tue Nov 20 08:47:00 2012	1353368820	0	14	14	14
Tue Nov 20 08:46:59 2012	1353368819	0	14	14	14
Tue Nov 20 08:47:00 2012	1353368820	0	14	14	14
Tue Nov 20 08:47:00 2012	1353368820	0	14	14	14
Tue Nov 20 08:47:01 2012	1353368821	0	14	14	13
Tue Nov 20 08:47:00 2012	1353368820	0	14	14	14
Tue Nov 20 08:47:01 2012	1353368821	0	14	14	14
