starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 20 08:46:42 2012	1353368802	0	164	164	164
Tue Nov 20 08:46:42 2012	1353368802	0	164	164	164
Tue Nov 20 08:46:42 2012	1353368802	0	164	164	164
Tue Nov 20 08:46:42 2012	1353368802	0	164	164	164
Tue Nov 20 08:46:42 2012	1353368802	0	164	164	164
Tue Nov 20 08:46:42 2012	1353368802	0	164	164	164
Tue Nov 20 08:46:42 2012	1353368802	0	164	164	164
Tue Nov 20 08:46:42 2012	1353368802	0	164	164	164
Tue Nov 20 08:46:42 2012	1353368802	0	164	164	164
Tue Nov 20 08:46:42 2012	1353368802	0	164	164	164
Tue Nov 20 08:46:42 2012	1353368802	2	195	197	195
Tue Nov 20 08:46:42 2012	1353368802	2	195	197	195
Tue Nov 20 08:46:42 2012	1353368802	2	195	197	195
Tue Nov 20 08:46:42 2012	1353368802	2	195	197	195
Tue Nov 20 08:46:42 2012	1353368802	2	195	197	195
Tue Nov 20 08:46:42 2012	1353368802	2	195	197	195
Tue Nov 20 08:46:42 2012	1353368802	2	195	197	195
Tue Nov 20 08:46:42 2012	1353368802	2	195	197	195
Tue Nov 20 08:46:42 2012	1353368802	2	195	197	195
Tue Nov 20 08:46:42 2012	1353368802	2	195	197	195
Tue Nov 20 08:46:43 2012	1353368803	0	216	216	216
Tue Nov 20 08:46:43 2012	1353368803	0	216	216	216
Tue Nov 20 08:46:43 2012	1353368803	0	217	217	217
Tue Nov 20 08:46:43 2012	1353368803	0	217	217	217
Tue Nov 20 08:46:43 2012	1353368803	0	217	217	217
Tue Nov 20 08:46:43 2012	1353368803	0	217	217	217
Tue Nov 20 08:46:43 2012	1353368803	0	217	217	217
Tue Nov 20 08:46:43 2012	1353368803	0	217	217	217
Tue Nov 20 08:46:43 2012	1353368803	0	217	217	217
Tue Nov 20 08:46:43 2012	1353368803	0	217	217	217
Tue Nov 20 08:46:43 2012	1353368803	0	217	217	217
Tue Nov 20 08:46:43 2012	1353368803	0	217	217	217
Tue Nov 20 08:46:42 2012	1353368802	0	218	218	218
Tue Nov 20 08:46:42 2012	1353368802	0	218	218	218
Tue Nov 20 08:46:42 2012	1353368802	0	218	218	218
Tue Nov 20 08:46:42 2012	1353368802	0	218	218	218
Tue Nov 20 08:46:42 2012	1353368802	0	218	218	218
Tue Nov 20 08:46:42 2012	1353368802	0	218	218	218
Tue Nov 20 08:46:42 2012	1353368802	0	218	218	218
Tue Nov 20 08:46:42 2012	1353368802	0	218	218	218
Tue Nov 20 08:46:42 2012	1353368802	0	218	218	218
Tue Nov 20 08:46:42 2012	1353368802	0	218	218	218
Tue Nov 20 08:46:45 2012	1353368805	0	220	220	220
Tue Nov 20 08:46:45 2012	1353368805	0	220	220	220
Tue Nov 20 08:46:45 2012	1353368805	0	220	220	220
Tue Nov 20 08:46:45 2012	1353368805	0	220	220	220
Tue Nov 20 08:46:45 2012	1353368805	0	220	220	220
Tue Nov 20 08:46:45 2012	1353368805	0	220	220	220
Tue Nov 20 08:46:45 2012	1353368805	0	220	220	220
Tue Nov 20 08:46:45 2012	1353368805	0	220	220	220
Tue Nov 20 08:46:45 2012	1353368805	0	220	220	220
Tue Nov 20 08:46:45 2012	1353368805	0	220	220	220
